pool_id,cell_line_display_name,ERBB2 expression,ERBB2 status
P118,KYSE140,4.686500527,other
P105,KYSE150,4.974529312,other
P106,KYSE180,4.485426827,other
P105,KYSE270,4.895787316,other
P108,KYSE30,6.304145941,other
P111,KYSE410,10.37558251,overexpressing
P107,KYSE510,5.098453246,other
P115,KYSE520,4.607626221,other
P101,KYSE70,3.986410935,other
P101,L33,4.84899843,other
P111,LC1SQSF,3.386810946,other
P106,LCLC103H,4.866413481,other
P102,LI7,5.736063628,other
P116,LK2,3.360364277,other
P114,LMSU,4.118525849,other
P112,LN18,4,other
P109,LN229,5.550285049,other
P120,LNCAPCLONEFGC,6.544578117,other
P112,LOUNH91,5.49441561,other
P109,LOVO,5.568032105,other
P104,LOXIMVI,0.454175893,other
P119,LS1034,5.358958826,other
P113,LS180,6.250014115,other
P111,LS411N,5.256255873,other
P103,LS513,6.112074551,other
P107,LU99,4.763411574,other
P106,LUDLU1,5.079804755,other
P110,LXF289,4.796493929,other
P120,MALME3M,4.789207575,other
P104,MCAS,4.495055528,other
P116,MCF7,5.506843099,other
P116,MDAMB175VII,7.51696066,other
P112,MDAMB231,4.658211483,other
P110,MDAMB435S,3.50589093,other
P113,MDAMB436,3.959770155,other
P112,MDAMB468,4.552745937,other
P110,MELHO,3.040892431,other
P112,MELJUSO,3.871843649,other
P107,MESSA,5.430619811,other
P110,MEWO,4.744161096,other
P114,MFE280,7.787510824,other
P105,MFE296,6.227471546,other
P118,MFE319,6.077456652,other
P105,MG63,4.674121633,other
P111,MHHES1,3.982765463,other
P101,MIAPACA2,4.951867504,other
P106,MKN1,5.334496768,other
P113,MKN45,5.562242424,other
P115,MKN7,10.83786442,overexpressing
P106,MKN74,5.449891473,other
P118,MON,5.382667253,other
P105,MPP89,4.349082146,other
P114,MSTO211H,4.312519967,other
P105,NB1,3.709290636,other
P115,NCIH1048,4.438292852,other
P102,NCIH1299,3.689299161,other
P107,NCIH157DM,4.535430915,other
P110,NCIH1355,5.632268215,other
P113,NCIH1373,5.239550797,other
P113,NCIH1435,6.025028794,other
P107,NCIH1437,5.415150205,other
P106,NCIH1563,6.837438715,other
P115,NCIH1568,5.449891473,other
P106,NCIH1573,6.56422572,other
P106,NCIH1581,4.770829046,other
P120,NCIH1623,6.394033895,other
P110,NCIH1648,5.459103696,other
P112,NCIH1650,6.324450605,other
P109,NCIH1651,5.043081982,other
P118,NCIH1693,5.891419187,other
P111,NCIH1703,5.226123143,other
P115,NCIH1792,4.595742339,other
P107,NCIH1793,4.383358695,other
P106,NCIH1838,5.599020177,other
