Viability,Cells,pert_dose,pert_dose_units,sample,ratio,culture_type
1.634731,NCIN87,0.018518519,ug/mL,T-MMAE,1:05,coculture
2.611667,HCC1806,0.018518519,ug/mL,T-MMAE,1:05,coculture
1.292683,NCIN87,0.018518519,ug/mL,T-MMAE,1:20,coculture
4.722936,HCC1806,0.018518519,ug/mL,T-MMAE,1:20,coculture
5.149766,HCC1806,0.00617284,ug/mL,T-MMAE,HCC1806 only,monoculture
0.6435935,NCIN87,0.00617284,ug/mL,T-MMAE,NCIN87 only,monoculture
1.009044,NCIN87,0.00617284,ug/mL,T-MMAE,1:01,coculture
1.546358,HCC1806,0.00617284,ug/mL,T-MMAE,1:01,coculture
1.021944,NCIN87,0.00617284,ug/mL,T-MMAE,1:02,coculture
1.845896,HCC1806,0.00617284,ug/mL,T-MMAE,1:02,coculture
1.695652,NCIN87,0.00617284,ug/mL,T-MMAE,1:05,coculture
3.840336,HCC1806,0.00617284,ug/mL,T-MMAE,1:05,coculture
1.333333,NCIN87,0.00617284,ug/mL,T-MMAE,1:20,coculture
5.136013,HCC1806,0.00617284,ug/mL,T-MMAE,1:20,coculture
6.498252,HCC1806,0.000685871,ug/mL,T-MMAE,HCC1806 only,monoculture
0.6876033,NCIN87,0.000685871,ug/mL,T-MMAE,NCIN87 only,monoculture
1.127586,NCIN87,0.000685871,ug/mL,T-MMAE,1:01,coculture
1.869637,HCC1806,0.000685871,ug/mL,T-MMAE,1:01,coculture
1.392857,NCIN87,0.000685871,ug/mL,T-MMAE,1:02,coculture
3.310231,HCC1806,0.000685871,ug/mL,T-MMAE,1:02,coculture
2.282895,NCIN87,0.000685871,ug/mL,T-MMAE,1:05,coculture
5.142188,HCC1806,0.000685871,ug/mL,T-MMAE,1:05,coculture
1.097561,NCIN87,0.000685871,ug/mL,T-MMAE,1:20,coculture
7.876588,HCC1806,0.000685871,ug/mL,T-MMAE,1:20,coculture
6.863363,HCC1806,0.002057613,ug/mL,T-MMAE,HCC1806 only,monoculture
0.6020067,NCIN87,0.002057613,ug/mL,T-MMAE,NCIN87 only,monoculture
1.268786,NCIN87,0.002057613,ug/mL,T-MMAE,1:01,coculture
1.777597,HCC1806,0.002057613,ug/mL,T-MMAE,1:01,coculture
1.342183,NCIN87,0.002057613,ug/mL,T-MMAE,1:02,coculture
3.347611,HCC1806,0.002057613,ug/mL,T-MMAE,1:02,coculture
1.71345,NCIN87,0.002057613,ug/mL,T-MMAE,1:05,coculture
4.801347,HCC1806,0.002057613,ug/mL,T-MMAE,1:05,coculture
1.222222,NCIN87,0.002057613,ug/mL,T-MMAE,1:20,coculture
7.352332,HCC1806,0.002057613,ug/mL,T-MMAE,1:20,coculture
6.852994,HCC1806,0.000228624,ug/mL,T-MMAE,HCC1806 only,monoculture
0.6185567,NCIN87,0.000228624,ug/mL,T-MMAE,NCIN87 only,monoculture
1.291721,NCIN87,0.000228624,ug/mL,T-MMAE,1:01,coculture
2.270701,HCC1806,0.000228624,ug/mL,T-MMAE,1:01,coculture
1.568421,NCIN87,0.000228624,ug/mL,T-MMAE,1:02,coculture
3.995455,HCC1806,0.000228624,ug/mL,T-MMAE,1:02,coculture
2.181208,NCIN87,0.000228624,ug/mL,T-MMAE,1:05,coculture
5.952532,HCC1806,0.000228624,ug/mL,T-MMAE,1:05,coculture
1.787879,NCIN87,0.000228624,ug/mL,T-MMAE,1:20,coculture
8.09182,HCC1806,0.000228624,ug/mL,T-MMAE,1:20,coculture
