Viability,Cells,pert_dose,pert_dose_units,sample,ratio,culture_type
1.848889,NCIN87,0.012345679,ug/mL,T-DM1,1:02,coculture
8.889274,HCC1806,0.012345679,ug/mL,T-DM1,1:02,coculture
2.094737,NCIN87,0.012345679,ug/mL,T-DM1,1:05,coculture
8.075503,HCC1806,0.012345679,ug/mL,T-DM1,1:05,coculture
1.837838,NCIN87,0.012345679,ug/mL,T-DM1,1:20,coculture
7.138211,HCC1806,0.012345679,ug/mL,T-DM1,1:20,coculture
8.015822,HCC1806,0.001371742,ug/mL,T-DM1,HCC1806 only,monoculture
4.835227,NCIN87,0.001371742,ug/mL,T-DM1,NCIN87 only,monoculture
7.235018,NCIN87,0.001371742,ug/mL,T-DM1,1:01,coculture
9.085014,HCC1806,0.001371742,ug/mL,T-DM1,1:01,coculture
5.233796,NCIN87,0.001371742,ug/mL,T-DM1,1:02,coculture
9.09158,HCC1806,0.001371742,ug/mL,T-DM1,1:02,coculture
4.989474,NCIN87,0.001371742,ug/mL,T-DM1,1:05,coculture
8.729323,HCC1806,0.001371742,ug/mL,T-DM1,1:05,coculture
2.888889,NCIN87,0.001371742,ug/mL,T-DM1,1:20,coculture
9.728041,HCC1806,0.001371742,ug/mL,T-DM1,1:20,coculture
7.00165,HCC1806,0.004115226,ug/mL,T-DM1,HCC1806 only,monoculture
1.985669,NCIN87,0.004115226,ug/mL,T-DM1,NCIN87 only,monoculture
2.885755,NCIN87,0.004115226,ug/mL,T-DM1,1:01,coculture
9.716772,HCC1806,0.004115226,ug/mL,T-DM1,1:01,coculture
2.208955,NCIN87,0.004115226,ug/mL,T-DM1,1:02,coculture
8.87752,HCC1806,0.004115226,ug/mL,T-DM1,1:02,coculture
2.373418,NCIN87,0.004115226,ug/mL,T-DM1,1:05,coculture
7.674603,HCC1806,0.004115226,ug/mL,T-DM1,1:05,coculture
1.777778,NCIN87,0.004115226,ug/mL,T-DM1,1:20,coculture
6.937394,HCC1806,0.004115226,ug/mL,T-DM1,1:20,coculture
7.539965,HCC1806,0.000457247,ug/mL,T-DM1,HCC1806 only,monoculture
5.857735,NCIN87,0.000457247,ug/mL,T-DM1,NCIN87 only,monoculture
9.001292,NCIN87,0.000457247,ug/mL,T-DM1,1:01,coculture
10.10961,HCC1806,0.000457247,ug/mL,T-DM1,1:01,coculture
8.320113,NCIN87,0.000457247,ug/mL,T-DM1,1:02,coculture
10.14692,HCC1806,0.000457247,ug/mL,T-DM1,1:02,coculture
6.955801,NCIN87,0.000457247,ug/mL,T-DM1,1:05,coculture
8.02057,HCC1806,0.000457247,ug/mL,T-DM1,1:05,coculture
7,NCIN87,0.000457247,ug/mL,T-DM1,1:20,coculture
7.282331,HCC1806,0.000457247,ug/mL,T-DM1,1:20,coculture
