Viability,Cells,pert_dose,pert_dose_units,sample,ratio,culture_type
0.1495258,HCC1806,1,ug/mL,T-DM1,1:01,coculture
0.1152477,NCIN87,1,ug/mL,T-DM1,1:02,coculture
0.1583987,HCC1806,1,ug/mL,T-DM1,1:02,coculture
0.1643723,NCIN87,1,ug/mL,T-DM1,1:05,coculture
0.1908629,HCC1806,1,ug/mL,T-DM1,1:05,coculture
0.1108033,NCIN87,1,ug/mL,T-DM1,1:20,coculture
0.1601525,HCC1806,1,ug/mL,T-DM1,1:20,coculture
0.9268022,HCC1806,0.1111111,ug/mL,T-DM1,HCC1806 only,monoculture
0.09495253,NCIN87,0.1111111,ug/mL,T-DM1,NCIN87 only,monoculture
0.1330173,NCIN87,0.1111111,ug/mL,T-DM1,1:01,coculture
0.8938876,HCC1806,0.1111111,ug/mL,T-DM1,1:01,coculture
0.1721147,NCIN87,0.1111111,ug/mL,T-DM1,1:02,coculture
0.7771948,HCC1806,0.1111111,ug/mL,T-DM1,1:02,coculture
0.2745774,NCIN87,0.1111111,ug/mL,T-DM1,1:05,coculture
0.8611464,HCC1806,0.1111111,ug/mL,T-DM1,1:05,coculture
0.1394244,NCIN87,0.1111111,ug/mL,T-DM1,1:20,coculture
0.8330861,HCC1806,0.1111111,ug/mL,T-DM1,1:20,coculture
0.4422975,HCC1806,0.3333333,ug/mL,T-DM1,HCC1806 only,monoculture
0.08005609,NCIN87,0.3333333,ug/mL,T-DM1,NCIN87 only,monoculture
0.1254911,NCIN87,0.3333333,ug/mL,T-DM1,1:01,coculture
0.3693292,HCC1806,0.3333333,ug/mL,T-DM1,1:01,coculture
0.151049,NCIN87,0.3333333,ug/mL,T-DM1,1:02,coculture
0.4427992,HCC1806,0.3333333,ug/mL,T-DM1,1:02,coculture
0.2361269,NCIN87,0.3333333,ug/mL,T-DM1,1:05,coculture
0.4864339,HCC1806,0.3333333,ug/mL,T-DM1,1:05,coculture
0.162356,NCIN87,0.3333333,ug/mL,T-DM1,1:20,coculture
0.5091857,HCC1806,0.3333333,ug/mL,T-DM1,1:20,coculture
1.064333,HCC1806,0.03703704,ug/mL,T-DM1,HCC1806 only,monoculture
0.1109958,NCIN87,0.03703704,ug/mL,T-DM1,NCIN87 only,monoculture
0.1605509,NCIN87,0.03703704,ug/mL,T-DM1,1:01,coculture
0.9877433,HCC1806,0.03703704,ug/mL,T-DM1,1:01,coculture
0.1826796,NCIN87,0.03703704,ug/mL,T-DM1,1:02,coculture
0.8907817,HCC1806,0.03703704,ug/mL,T-DM1,1:02,coculture
0.2677772,NCIN87,0.03703704,ug/mL,T-DM1,1:05,coculture
1.188103,HCC1806,0.03703704,ug/mL,T-DM1,1:05,coculture
0.2241835,NCIN87,0.03703704,ug/mL,T-DM1,1:20,coculture
1.073695,HCC1806,0.03703704,ug/mL,T-DM1,1:20,coculture
0.9588601,HCC1806,0.01234568,ug/mL,T-DM1,HCC1806 only,monoculture
0.1482099,NCIN87,0.01234568,ug/mL,T-DM1,NCIN87 only,monoculture
0.1783586,NCIN87,0.01234568,ug/mL,T-DM1,1:01,coculture
1.020685,HCC1806,0.01234568,ug/mL,T-DM1,1:01,coculture
0.195491,NCIN87,0.01234568,ug/mL,T-DM1,1:02,coculture
1.000288,HCC1806,0.01234568,ug/mL,T-DM1,1:02,coculture
0.2612058,NCIN87,0.01234568,ug/mL,T-DM1,1:05,coculture
1.004995,HCC1806,0.01234568,ug/mL,T-DM1,1:05,coculture
0.2362207,NCIN87,0.01234568,ug/mL,T-DM1,1:20,coculture
0.9049709,HCC1806,0.01234568,ug/mL,T-DM1,1:20,coculture
1.09333,HCC1806,0.001371742,ug/mL,T-DM1,HCC1806 only,monoculture
0.7997523,NCIN87,0.001371742,ug/mL,T-DM1,NCIN87 only,monoculture
0.7122949,NCIN87,0.001371742,ug/mL,T-DM1,1:01,coculture
0.9311677,HCC1806,0.001371742,ug/mL,T-DM1,1:01,coculture
0.5533919,NCIN87,0.001371742,ug/mL,T-DM1,1:02,coculture
1.023053,HCC1806,0.001371742,ug/mL,T-DM1,1:02,coculture
0.6221686,NCIN87,0.001371742,ug/mL,T-DM1,1:05,coculture
1.086362,HCC1806,0.001371742,ug/mL,T-DM1,1:05,coculture
0.3713143,NCIN87,0.001371742,ug/mL,T-DM1,1:20,coculture
1.233305,HCC1806,0.001371742,ug/mL,T-DM1,1:20,coculture
0.9550001,HCC1806,0.004115226,ug/mL,T-DM1,HCC1806 only,monoculture
0.328432,NCIN87,0.004115226,ug/mL,T-DM1,NCIN87 only,monoculture
0.2841055,NCIN87,0.004115226,ug/mL,T-DM1,1:01,coculture
0.9959197,HCC1806,0.004115226,ug/mL,T-DM1,1:01,coculture
0.2335624,NCIN87,0.004115226,ug/mL,T-DM1,1:02,coculture
0.9989658,HCC1806,0.004115226,ug/mL,T-DM1,1:02,coculture
0.2959563,NCIN87,0.004115226,ug/mL,T-DM1,1:05,coculture
0.9551027,HCC1806,0.004115226,ug/mL,T-DM1,1:05,coculture
0.2285011,NCIN87,0.004115226,ug/mL,T-DM1,1:20,coculture
0.8795116,HCC1806,0.004115226,ug/mL,T-DM1,1:20,coculture
1.028424,HCC1806,0.000457247,ug/mL,T-DM1,HCC1806 only,monoculture
0.9688763,NCIN87,0.000457247,ug/mL,T-DM1,NCIN87 only,monoculture
0.8861864,NCIN87,0.000457247,ug/mL,T-DM1,1:01,coculture
1.036184,HCC1806,0.000457247,ug/mL,T-DM1,1:01,coculture
0.8797216,NCIN87,0.000457247,ug/mL,T-DM1,1:02,coculture
1.141808,HCC1806,0.000457247,ug/mL,T-DM1,1:02,coculture
0.8673622,NCIN87,0.000457247,ug/mL,T-DM1,1:05,coculture
0.9981583,HCC1806,0.000457247,ug/mL,T-DM1,1:05,coculture
0.899723,NCIN87,0.000457247,ug/mL,T-DM1,1:20,coculture
0.9232422,HCC1806,0.000457247,ug/mL,T-DM1,1:20,coculture
