feature,coef,log10(q.val)
GE_SAMD12,-0.226669592,4.085094573
GE_KYAT1,0.226417685,4.075284825
GE_TMEM263,0.226212235,4.06781832
GE_ZEB1,0.225904176,4.058046542
GE_CLDN4,-0.22595817,4.058046542
GE_TMPRSS13,-0.225521422,4.041607992
GE_MMEL1,-0.225316065,4.034112066
GE_SLPI,-0.224776321,4.011099209
GE_PPP1R18,0.224672584,4.011099209
GE_TLCD5,0.224635277,4.011099209
GE_MYZAP,-0.224700688,4.011099209
GE_H4C7,-0.224566894,4.01042516
GE_DOK7,-0.224308357,4.000201535
GE_ADGRF1,-0.224156543,3.995319257
GE_FSD1L,0.22402517,3.991448344
GE_TTC22,-0.223520419,3.968905604
GE_KRT19,-0.222825067,3.93691475
GE_GALNT3,-0.222733166,3.934998073
GE_PHF23,0.222542026,3.92818558
GE_MAL2,-0.222453568,3.92818558
GE_WNK2,-0.222437778,3.92818558
GE_ERMP1,-0.221943543,3.908483916
GE_MAP3K12,0.22193656,3.908483916
GE_MYORG,-0.221868895,3.907692836
GE_B3GNT3,-0.221547191,3.894311657
GE_GNPDA2,0.221474704,3.893258248
GE_SOWAHB,-0.221201081,3.88225145
GE_PWWP2B,-0.220752656,3.862627409
GE_ORMDL3,-0.220668319,3.860959799
GE_MAPK13,-0.220325404,3.84655137
GE_TSPAN15,-0.220112997,3.838567912
GE_GDPD3,-0.219993114,3.835124574
GE_GPX2,-0.219653636,3.820896265
GE_MARVELD2,-0.219111905,3.799486954
GE_CAPN13,-0.219069079,3.799486954
GE_SPTBN2,-0.219084962,3.799486954
GE_HSD11B2,-0.218870544,3.794528331
GE_STARD10,-0.218909064,3.794528331
GE_GID8,-0.218572287,3.784965199
GE_FOXA1,-0.2185308,3.784965199
GE_NET1,-0.218557861,3.784965199
GE_EVC,0.218388545,3.780344196
GE_ELF3,-0.218073197,3.767286203
GE_BNIP3L,0.217538555,3.745865168
GE_CLEC3A,-0.217570435,3.745865168
GE_SYDE1,0.217476174,3.745104497
GE_DERL2,0.217142983,3.731199686
GE_MMP20,-0.217093869,3.731064098
GE_FXR2,0.216890249,3.723435489
GE_CAMSAP3,-0.216712953,3.71707809
GE_KLF5,-0.216619399,3.716963257
GE_ZEB2,0.216625182,3.716963257
GE_VKORC1,0.216235588,3.700612349
GE_ADAP1,-0.216142265,3.698286667
GE_MISP,-0.215798518,3.683884968
GE_UBE2G1,0.215211407,3.657805326
GE_SH2B3,0.215080021,3.653642177
GE_POLK,0.214922153,3.648202364
GE_SACS,0.214477868,3.629041247
GE_VIM,0.214426388,3.628691219
GE_GRHL3,-0.213963283,3.608661096
GE_ENO2,0.213788806,3.60242795
GE_CUTA,0.213587234,3.599036565
GE_MUC20,-0.213627343,3.599036565
GE_CCSER1,-0.213591243,3.599036565
GE_C5orf24,0.213502323,3.597044387
GE_EHF,-0.213458715,3.597011041
GE_MST1R,-0.21329141,3.591080356
GE_PTK6,-0.212990835,3.578811644
GE_TSPAN1,-0.212554191,3.560099502
GE_ELOVL5,0.212400435,3.556813762
GE_PRKCD,-0.212417005,3.556813762
GE_ANKFY1,0.212334433,3.555674327
GE_SPARC,0.212030692,3.545244606
GE_LPIN1,0.212071141,3.545244606
GE_ESD,0.211930107,3.542448625
GE_FHL1,0.211778916,3.537254942
GE_TRIM49,-0.211528882,3.527392452
GE_FAM126A,0.211453435,3.525767386
GE_PLEKHA7,-0.211339503,3.524784071
GE_NAP1L1,0.211310593,3.524784071
GE_PJA2,0.211361632,3.524784071
GE_GAMT,0.211153041,3.520610625
GE_ERVMER34.1,-0.211141524,3.520610625
GE_FAM216A,0.211091999,3.520162421
GE_FUT11,0.211038285,3.519509407
GE_P2RY2,-0.210815065,3.510874496
GE_ZNF296,-0.210394964,3.492998621
GE_SH2D3A,-0.210246066,3.489693172
GE_UROD,0.210206562,3.489693172
GE_PCDH1,-0.210227262,3.489693172
GE_LYZL4,-0.209773329,3.471229262
GE_MAP7,-0.209607451,3.465291747
