x,rho,beta,p.val,n,ns,feature.set,feature,q.val,y,detected_count,neg_log10_qval
EXP_IL1R2,-0.115921328701936,-0.0210594807665386,0.00379134964918121,622,30,EXP,IL1R2,0.0260764137552052,temozolomide::O6-benzylguanine::100::5,2,1.58375213661418
EXP_WNT6,0.129760836787281,0.035029322207652,0.00118096147690408,622,24,EXP,WNT6,0.0122767168288302,temozolomide::O6-benzylguanine::100::5,2,1.91091776135161
EXP_SLC9A2,-0.107836745076973,-0.0249281884228244,0.00710495681684193,622,25,EXP,SLC9A2,0.0398027864420215,temozolomide::O6-benzylguanine::100::5,3,1.40008652355358
EXP_FHL2,-0.177379756426592,-0.0226140365256374,8.5759737617254e-06,622,30,EXP,FHL2,0.000638057299146931,temozolomide::O6-benzylguanine::100::5,3,3.19514031879303
EXP_MLPH,-0.139525163512266,-0.0130755623569043,0.000483324107627885,622,39,EXP,MLPH,0.0068175352692937,temozolomide::O6-benzylguanine::100::5,3,2.16637260663606
EXP_PASK,0.127195980279183,0.0336982880351716,0.00147887223998367,622,26,EXP,PASK,0.0141963332355251,temozolomide::O6-benzylguanine::100::5,4,1.84782381485761
EXP_TAF1B,0.125449369796764,0.0472107363799778,0.00171973018070275,622,28,EXP,TAF1B,0.0156461181491508,temozolomide::O6-benzylguanine::100::5,4,1.80559339457251
EXP_ODC1,0.14111869035136,0.0324036695841502,0.000415416724448623,622,28,EXP,ODC1,0.00623024808766197,temozolomide::O6-benzylguanine::100::5,3,2.20549465944718
EXP_BIRC6,0.128676933936304,0.0595351722482355,0.00129937520484122,622,31,EXP,BIRC6,0.013007840006649,temozolomide::O6-benzylguanine::100::5,4,1.88579481343642
EXP_NOL10,0.116313377133627,0.0580669828891801,0.00367396965951956,622,24,EXP,NOL10,0.0255860335521777,temozolomide::O6-benzylguanine::100::5,4,1.59199703493805
EXP_STRN,0.148136331955608,0.054354857023229,0.000209272154885056,622,35,EXP,STRN,0.00408274025032682,temozolomide::O6-benzylguanine::100::5,5,2.38904824962345
EXP_CEBPZ,0.213300198021886,0.107929455035638,7.83357628653567e-08,622,55,EXP,CEBPZ,3.78137918174343e-05,temozolomide::O6-benzylguanine::100::5,4,4.42234977112147
EXP_PRKD3,0.105491054157054,0.0239129290161383,0.0084635028193516,622,23,EXP,PRKD3,0.0444445911328089,temozolomide::O6-benzylguanine::100::5,3,1.35218108472992
EXP_DCAF17,0.0894481299664399,0.0388881797915262,0.0256933325215772,622,17,EXP,DCAF17,0.0938570492869289,temozolomide::O6-benzylguanine::100::5,4,1.0275331034215
EXP_DARS1,0.108751731235012,0.0537691595274391,0.00663036591203525,622,22,EXP,DARS1,0.0380632117172394,temozolomide::O6-benzylguanine::100::5,4,1.4194945693799
EXP_SRSF7,0.159584699123382,0.0815381691456297,6.39683435269089e-05,622,34,EXP,SRSF7,0.00194342201390904,temozolomide::O6-benzylguanine::100::5,3,2.71143288215312
