"","ccle_name","GE_MCL1","GE_BCL2L1","XPR_MCL1","XPR_BCL2L1","pert1","pert2","dose1","dose2","anchor.fitted","library.fitted","combination.fitted"
"1","NIHOVCAR3_OVARY",7.06371864015225,6.93380866199012,-0.398847292653098,-0.810323826756603,"AZD5991","A-1331852",0.004568,0.000506,0.954714271948718,1,0.796461408178828
"2","NIHOVCAR3_OVARY",7.06371864015225,6.93380866199012,-0.398847292653098,-0.810323826756603,"AZD5991","A-1331852",0.0137,0.000506,0.954714271948718,1,0.830594565870916
"3","NIHOVCAR3_OVARY",7.06371864015225,6.93380866199012,-0.398847292653098,-0.810323826756603,"AZD5991","A-1331852",0.04111,0.000506,0.954714271948718,1,0.932175663788885
"4","NIHOVCAR3_OVARY",7.06371864015225,6.93380866199012,-0.398847292653098,-0.810323826756603,"AZD5991","A-1331852",0.1233,0.000506,0.954714271948718,1,0.907481188735594
"5","NIHOVCAR3_OVARY",7.06371864015225,6.93380866199012,-0.398847292653098,-0.810323826756603,"AZD5991","A-1331852",0.37,0.000506,0.954714271948718,1,0.971938207360092
"6","NIHOVCAR3_OVARY",7.06371864015225,6.93380866199012,-0.398847292653098,-0.810323826756603,"AZD5991","A-1331852",0.004568,0.001519,0.907170542793023,1,0.90118063228987
"7","NIHOVCAR3_OVARY",7.06371864015225,6.93380866199012,-0.398847292653098,-0.810323826756603,"AZD5991","A-1331852",0.0137,0.001519,0.907170542793023,1,0.938142424231848
"8","NIHOVCAR3_OVARY",7.06371864015225,6.93380866199012,-0.398847292653098,-0.810323826756603,"AZD5991","A-1331852",0.04111,0.001519,0.907170542793023,1,0.985542440035115
"9","NIHOVCAR3_OVARY",7.06371864015225,6.93380866199012,-0.398847292653098,-0.810323826756603,"AZD5991","A-1331852",0.1233,0.001519,0.907170542793023,1,0.893762003521855
"10","NIHOVCAR3_OVARY",7.06371864015225,6.93380866199012,-0.398847292653098,-0.810323826756603,"AZD5991","A-1331852",0.37,0.001519,0.907170542793023,1,0.906812999188804
"11","NIHOVCAR3_OVARY",7.06371864015225,6.93380866199012,-0.398847292653098,-0.810323826756603,"AZD5991","A-1331852",0.004568,0.004556,0.819257757721996,1,0.842436914039132
"12","NIHOVCAR3_OVARY",7.06371864015225,6.93380866199012,-0.398847292653098,-0.810323826756603,"AZD5991","A-1331852",0.0137,0.004556,0.819257757721996,1,0.915783796796156
"13","NIHOVCAR3_OVARY",7.06371864015225,6.93380866199012,-0.398847292653098,-0.810323826756603,"AZD5991","A-1331852",0.04111,0.004556,0.819257757721996,1,0.881442619953234
"14","NIHOVCAR3_OVARY",7.06371864015225,6.93380866199012,-0.398847292653098,-0.810323826756603,"AZD5991","A-1331852",0.1233,0.004556,0.819257757721996,1,0.659593500507373
"15","NIHOVCAR3_OVARY",7.06371864015225,6.93380866199012,-0.398847292653098,-0.810323826756603,"AZD5991","A-1331852",0.37,0.004556,0.819257757721996,1,0.658511482907756
"16","NIHOVCAR3_OVARY",7.06371864015225,6.93380866199012,-0.398847292653098,-0.810323826756603,"AZD5991","A-1331852",0.004568,0.01367,0.677614684056097,1,0.674157912032184
"17","NIHOVCAR3_OVARY",7.06371864015225,6.93380866199012,-0.398847292653098,-0.810323826756603,"AZD5991","A-1331852",0.0137,0.01367,0.677614684056097,1,0.793480225346328
"18","NIHOVCAR3_OVARY",7.06371864015225,6.93380866199012,-0.398847292653098,-0.810323826756603,"AZD5991","A-1331852",0.04111,0.01367,0.677614684056097,1,0.667434426296919
"19","NIHOVCAR3_OVARY",7.06371864015225,6.93380866199012,-0.398847292653098,-0.810323826756603,"AZD5991","A-1331852",0.1233,0.01367,0.677614684056097,1,0.451005280147939
"20","NIHOVCAR3_OVARY",7.06371864015225,6.93380866199012,-0.398847292653098,-0.810323826756603,"AZD5991","A-1331852",0.37,0.01367,0.677614684056097,1,0.388215337484105
"21","NIHOVCAR3_OVARY",7.06371864015225,6.93380866199012,-0.398847292653098,-0.810323826756603,"AZD5991","A-1331852",0.004568,0.041,0.493652538755074,1,0.703861705556917
"22","NIHOVCAR3_OVARY",7.06371864015225,6.93380866199012,-0.398847292653098,-0.810323826756603,"AZD5991","A-1331852",0.0137,0.041,0.493652538755074,1,0.851172990753545
"23","NIHOVCAR3_OVARY",7.06371864015225,6.93380866199012,-0.398847292653098,-0.810323826756603,"AZD5991","A-1331852",0.04111,0.041,0.493652538755074,1,0.472024837489715
"24","NIHOVCAR3_OVARY",7.06371864015225,6.93380866199012,-0.398847292653098,-0.810323826756603,"AZD5991","A-1331852",0.1233,0.041,0.493652538755074,1,0.211045598467963
"25","NIHOVCAR3_OVARY",7.06371864015225,6.93380866199012,-0.398847292653098,-0.810323826756603,"AZD5991","A-1331852",0.37,0.041,0.493652538755074,1,0.0659206406576215
"26","HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",6.28058520256447,7.52778975157233,-0.434957109978798,-2.59765685621276,"AZD5991","A-1331852",0.004568,0.000506,0.99111978107881,1,0.942324459709435
"27","HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",6.28058520256447,7.52778975157233,-0.434957109978798,-2.59765685621276,"AZD5991","A-1331852",0.0137,0.000506,0.99111978107881,1,0.937443152251554
"28","HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",6.28058520256447,7.52778975157233,-0.434957109978798,-2.59765685621276,"AZD5991","A-1331852",0.04111,0.000506,0.99111978107881,1,0.914834183991925
