ccle_name,DepMap_ID,pert1,pert2,dose1,dose2,capped_library,capped_anchor,capped_combination,library,anchor,combination,S,LS,BLISS.NULL,HSA.NULL,EXP_MGMT,EXP_MSH6,RPPA_MSH2_MSH2,RPPA_MSH6_Caution_MSH6,synergy_count_across_doses
143B_BONE,ACH-001001,temozolomide,O6-benzylguanine,0.1372,5,1,1,1,1.02606157567872,1.09905175627742,1.05957569638641,0,0,1,1,0.0285691521967709,6.43279241901955,NA,NA,1
143B_BONE,ACH-001001,temozolomide,O6-benzylguanine,0.4115,5,1,1,0.939409176908843,1.04428291680521,1.09905175627742,0.939409176908843,0.0605908230911568,0.0901744078104913,1,1,0.0285691521967709,6.43279241901955,NA,NA,1
143B_BONE,ACH-001001,temozolomide,O6-benzylguanine,1.235,5,0.929983384378805,1,1,0.929983384378805,1.09905175627742,1.09468643339345,-0.0700166156211949,-0.104723154460715,0.929983384378805,0.929983384378805,0.0285691521967709,6.43279241901955,NA,NA,1
143B_BONE,ACH-001001,temozolomide,O6-benzylguanine,100,5,0.184208797007285,1,0.226505413087361,0.184208797007285,1.09905175627742,0.226505413087361,-0.0422966160800758,-0.29820356871209,0.184208797007285,0.184208797007285,0.0285691521967709,6.43279241901955,NA,NA,1
143B_BONE,ACH-001001,temozolomide,O6-benzylguanine,11.11,5,0.842611273239374,1,0.934387659194215,0.842611273239374,1.09905175627742,0.934387659194215,-0.091776385954841,-0.149154002384186,0.842611273239374,0.842611273239374,0.0285691521967709,6.43279241901955,NA,NA,1
143B_BONE,ACH-001001,temozolomide,O6-benzylguanine,3.704,5,1,1,1,1.01520610717896,1.09905175627742,1.07283968845986,0,0,1,1,0.0285691521967709,6.43279241901955,NA,NA,1
143B_BONE,ACH-001001,temozolomide,O6-benzylguanine,33.33,5,0.48502150594627,1,0.406113384301771,0.48502150594627,1.09905175627742,0.406113384301771,0.0789081216444992,0.25616614306405,0.48502150594627,0.48502150594627,0.0285691521967709,6.43279241901955,NA,NA,1
1618K_TESTIS,ACH-001437,temozolomide,O6-benzylguanine,0.1372,5,0.887401821174482,1,0.732478831480564,0.887401821174482,1.1261357206912,0.732478831480564,0.154922989693918,0.27680044745409,0.887401821174482,0.887401821174482,NA,NA,NA,NA,6
1618K_TESTIS,ACH-001437,temozolomide,O6-benzylguanine,0.4115,5,0.824677478966822,1,0.935138251586301,0.824677478966822,1.1261357206912,0.935138251586301,-0.11046077261948,-0.181349660257606,0.824677478966822,0.824677478966822,NA,NA,NA,NA,6
1618K_TESTIS,ACH-001437,temozolomide,O6-benzylguanine,1.235,5,0.9358284566173,1,0.638077691252022,0.9358284566173,1.1261357206912,0.638077691252022,0.297750765365278,0.552512003978137,0.9358284566173,0.9358284566173,NA,NA,NA,NA,6
1618K_TESTIS,ACH-001437,temozolomide,O6-benzylguanine,100,5,0.511526341266416,1,0.0988095278266361,0.511526341266416,1.1261357206912,0.0988095278266361,0.41271681343978,2.37208646685692,0.511526341266416,0.511526341266416,NA,NA,NA,NA,6
1618K_TESTIS,ACH-001437,temozolomide,O6-benzylguanine,11.11,5,0.998616662339917,1,0.378877179896721,0.998616662339917,1.1261357206912,0.378877179896721,0.619739482443196,1.39820073116197,0.998616662339917,0.998616662339917,NA,NA,NA,NA,6
1618K_TESTIS,ACH-001437,temozolomide,O6-benzylguanine,3.704,5,0.82884513124527,1,0.459818967224086,0.82884513124527,1.1261357206912,0.459818967224086,0.369026164021184,0.850036583514513,0.82884513124527,0.82884513124527,NA,NA,NA,NA,6
1618K_TESTIS,ACH-001437,temozolomide,O6-benzylguanine,33.33,5,0.703243079944238,1,0.193201554732469,0.703243079944238,1.1261357206912,0.193201554732469,0.510041525211769,1.86391674731272,0.703243079944238,0.703243079944238,NA,NA,NA,NA,6
1777NRPMET_TESTIS,ACH-001438,temozolomide,O6-benzylguanine,0.1372,5,0.955722857680269,1,1,0.955722857680269,1.0034812015241,1.26114582464286,-0.0442771423197308,-0.0653357714686721,0.955722857680269,0.955722857680269,NA,NA,NA,NA,2
1777NRPMET_TESTIS,ACH-001438,temozolomide,O6-benzylguanine,0.4115,5,0.774032272449693,1,1,0.774032272449693,1.0034812015241,1.01430738579702,-0.225967727550307,-0.369534375633315,0.774032272449693,0.774032272449693,NA,NA,NA,NA,2
1777NRPMET_TESTIS,ACH-001438,temozolomide,O6-benzylguanine,1.235,5,1,1,1,1.05173226513165,1.0034812015241,1.33904938282275,0,0,1,1,NA,NA,NA,NA,2
1777NRPMET_TESTIS,ACH-001438,temozolomide,O6-benzylguanine,100,5,1,1,0.785720022458071,1.42056223726023,1.0034812015241,0.785720022458071,0.214279977541929,0.347912769894639,1,1,NA,NA,NA,NA,2
1777NRPMET_TESTIS,ACH-001438,temozolomide,O6-benzylguanine,11.11,5,0.891836557877168,1,0.569914165031935,0.891836557877168,1.0034812015241,0.569914165031935,0.321922392845232,0.646034688511793,0.891836557877168,0.891836557877168,NA,NA,NA,NA,2
1777NRPMET_TESTIS,ACH-001438,temozolomide,O6-benzylguanine,3.704,5,0.847591431615196,1,1,0.847591431615196,1.0034812015241,1.00177094585892,-0.152408568384804,-0.238559091449044,0.847591431615196,0.847591431615196,NA,NA,NA,NA,2
1777NRPMET_TESTIS,ACH-001438,temozolomide,O6-benzylguanine,33.33,5,1,1,1,1.1349567503404,1.0034812015241,1.05095563521831,0,0,1,1,NA,NA,NA,NA,2
