ccle_name,DepMap_ID,pert1,pert2,dose1,dose2,capped_library,capped_anchor,capped_combination,library,anchor,combination,S,LS,BLISS.NULL,HSA.NULL,EXP_MGMT,EXP_MSH6,RPPA_MSH2_MSH2,RPPA_MSH6_Caution_MSH6,qval_S.emp.onlySynergy,qval_S.emp,is_synergistic,synergy_count_across_doses
143B_BONE,ACH-001001,temozolomide,O6-benzylguanine,0.1372,5,1,1,0.941256753803924,1.05018596879525,1.15285246684614,0.941256753803924,0.0587432461960755,0.0873397832892805,1,1,0.0285691521967709,6.43279241901955,NA,NA,0.163567286542691,0.327134573085383,0,1
143B_BONE,ACH-001001,temozolomide,O6-benzylguanine,0.4115,5,0.900293611177335,1,0.802898717420716,0.900293611177335,1.15285246684614,0.802898717420716,0.0973948937566188,0.16517757298587,0.900293611177335,0.900293611177335,0.0285691521967709,6.43279241901955,NA,NA,0.110677864427115,0.221355728854229,0,1
143B_BONE,ACH-001001,temozolomide,O6-benzylguanine,1.235,5,0.979393835508993,1,0.99046468789263,0.979393835508993,1.15285246684614,0.99046468789263,-0.0110708523836369,-0.0162164255017897,0.979393835508993,0.979393835508993,0.0285691521967709,6.43279241901955,NA,NA,0.442311537692461,0.884623075384923,0,1
143B_BONE,ACH-001001,temozolomide,O6-benzylguanine,100,5,0.19170605263444,1,0.273078743452167,0.19170605263444,1.15285246684614,0.273078743452167,-0.0813726908177274,-0.51042113139426,0.19170605263444,0.19170605263444,0.0285691521967709,6.43279241901955,NA,NA,0.675864827034593,0.648270345930814,0,1
143B_BONE,ACH-001001,temozolomide,O6-benzylguanine,11.11,5,0.95235497300162,1,0.69223512393834,0.95235497300162,1.15285246684614,0.69223512393834,0.26011984906328,0.460237266564187,0.95235497300162,0.95235497300162,0.0285691521967709,6.43279241901955,NA,NA,0.0137972405518896,0.0275944811037792,1,1
143B_BONE,ACH-001001,temozolomide,O6-benzylguanine,3.704,5,0.988459639865507,1,0.901238463024798,0.988459639865507,1.15285246684614,0.901238463024798,0.0872211768407096,0.133273173803519,0.988459639865507,0.988459639865507,0.0285691521967709,6.43279241901955,NA,NA,0.124275144971006,0.248550289942012,0,1
143B_BONE,ACH-001001,temozolomide,O6-benzylguanine,33.33,5,0.439759707551971,1,0.639021211051373,0.439759707551971,1.15285246684614,0.639021211051373,-0.199261503499402,-0.539148394318645,0.439759707551971,0.439759707551971,0.0285691521967709,6.43279241901955,NA,NA,0.904319136172765,0.191361727654469,0,1
1618K_TESTIS,ACH-001437,temozolomide,O6-benzylguanine,0.1372,5,1,1,0.5437703521097,1.02171171286538,1.18050858531381,0.5437703521097,0.4562296478903,0.878930601175177,1,1,NA,NA,NA,NA,0.00259948010397926,0.00519896020795851,1,6
1618K_TESTIS,ACH-001437,temozolomide,O6-benzylguanine,0.4115,5,0.454952356982619,1,0.78366403406059,0.454952356982619,1.18050858531381,0.78366403406059,-0.328711677077971,-0.78451981373227,0.454952356982619,0.454952356982619,NA,NA,NA,NA,0.962907418516297,0.0741851629674065,0,6
1618K_TESTIS,ACH-001437,temozolomide,O6-benzylguanine,1.235,5,1,1,0.832519986249023,1.07733604097349,1.18050858531381,0.832519986249023,0.167480013750977,0.26444318760888,1,1,NA,NA,NA,NA,0.0636872625474905,0.127374525094981,1,6
1618K_TESTIS,ACH-001437,temozolomide,O6-benzylguanine,100,5,0.678616959448045,1,0.126358999937911,0.678616959448045,1.18050858531381,0.126358999937911,0.552257959510133,2.4250690610673,0.678616959448045,0.678616959448045,NA,NA,NA,NA,0.00129974005198963,0.00259948010397926,1,6
1618K_TESTIS,ACH-001437,temozolomide,O6-benzylguanine,11.11,5,0.853613720795637,1,0.224326196690396,0.853613720795637,1.18050858531381,0.224326196690396,0.629287524105241,1.9279852585064,0.853613720795637,0.853613720795637,NA,NA,NA,NA,9.99800039992449e-05,0.00019996000799849,1,6
1618K_TESTIS,ACH-001437,temozolomide,O6-benzylguanine,3.704,5,0.908401061850521,1,0.722116960661074,0.908401061850521,1.18050858531381,0.722116960661074,0.186284101189447,0.331096864335275,0.908401061850521,0.908401061850521,NA,NA,NA,NA,0.0589882023595281,0.117976404719056,1,6
1618K_TESTIS,ACH-001437,temozolomide,O6-benzylguanine,33.33,5,1,1,0.156371327058354,1.00909365326763,1.18050858531381,0.156371327058354,0.843628672941646,2.67695209696744,1,1,NA,NA,NA,NA,9.99800039992449e-05,0.00019996000799849,1,6
22RV1_PROSTATE,ACH-000956,temozolomide,O6-benzylguanine,0.1372,5,0.870013213119455,0.86400142710893,0.768777780018616,0.870013213119455,0.86400142710893,0.768777780018616,0,0,0.751692657738835,0.86400142710893,0.400537929583729,5.07296327155522,-2.855968,-2.200418,0.273145370925815,0.54629074185163,0,0
22RV1_PROSTATE,ACH-000956,temozolomide,O6-benzylguanine,0.4115,5,0.944635602930493,0.86400142710893,0.898924307542602,0.944635602930493,0.86400142710893,0.898924307542602,-0.0349228804336723,-0.0571659457143,0.81616650902985,0.86400142710893,0.400537929583729,5.07296327155522,-2.855968,-2.200418,0.480103979204159,0.960207958408318,0,0
22RV1_PROSTATE,ACH-000956,temozolomide,O6-benzylguanine,1.235,5,1,0.86400142710893,1,1.11036705320554,0.86400142710893,1.06236992465437,-0.13599857289107,-0.210894399534179,0.86400142710893,0.86400142710893,0.400537929583729,5.07296327155522,-2.855968,-2.200418,0.665766846630674,0.668466306738652,0,0
