"","ccle_name","pert1","pert2","dose1","dose2","combination.fitted"
"49","HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","AZD5991","A-1331852",0.1233,0.041,0.108131814573777
"50","HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","AZD5991","A-1331852",0.37,0.041,0.0126476240892248
"51","HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","AZD5991","A-1331852",0.004568,0.000506,0.99782978462305
"52","HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","AZD5991","A-1331852",0.0137,0.000506,0.916662905356284
"53","HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","AZD5991","A-1331852",0.04111,0.000506,0.985498534357977
"54","HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","AZD5991","A-1331852",0.1233,0.000506,0.926937862590936
"55","HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","AZD5991","A-1331852",0.37,0.000506,0.167633652185589
"56","HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","AZD5991","A-1331852",0.004568,0.001519,0.989872808541411
"57","HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","AZD5991","A-1331852",0.0137,0.001519,0.859425033367506
"58","HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","AZD5991","A-1331852",0.04111,0.001519,0.965588482146275
"59","HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","AZD5991","A-1331852",0.1233,0.001519,0.905673202663115
"60","HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","AZD5991","A-1331852",0.37,0.001519,0.123372590564008
"61","HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","AZD5991","A-1331852",0.004568,0.004556,0.903009031609494
"62","HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","AZD5991","A-1331852",0.0137,0.004556,0.689695934831973
"63","HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","AZD5991","A-1331852",0.04111,0.004556,0.750447201834573
"64","HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","AZD5991","A-1331852",0.1233,0.004556,0.636555953923022
"65","HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","AZD5991","A-1331852",0.37,0.004556,0.174732325988342
"66","HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","AZD5991","A-1331852",0.004568,0.01367,0.831821805994576
"67","HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","AZD5991","A-1331852",0.0137,0.01367,0.649687897279327
"68","HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","AZD5991","A-1331852",0.04111,0.01367,0.498795727760504
"69","HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","AZD5991","A-1331852",0.1233,0.01367,0.0980619378618321
"70","HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","AZD5991","A-1331852",0.37,0.01367,0.00396359698017312
"71","HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","AZD5991","A-1331852",0.004568,0.041,0.149811952002341
"72","HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","AZD5991","A-1331852",0.0137,0.041,0.126865711159979
"73","HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","AZD5991","A-1331852",0.04111,0.041,0.114392769949634
"74","HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","AZD5991","A-1331852",0.1233,0.041,0.00298458658996617
"75","HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","AZD5991","A-1331852",0.37,0.041,7.21060335249172e-20
"76","LS513_LARGE_INTESTINE","AZD5991","A-1331852",0.004568,0.000506,0.850330193012567
"77","LS513_LARGE_INTESTINE","AZD5991","A-1331852",0.0137,0.000506,0.701491941124345
"78","LS513_LARGE_INTESTINE","AZD5991","A-1331852",0.04111,0.000506,0.637644184396952
"79","LS513_LARGE_INTESTINE","AZD5991","A-1331852",0.1233,0.000506,0.424254739476366
"80","LS513_LARGE_INTESTINE","AZD5991","A-1331852",0.37,0.000506,0.285519393389867
"81","LS513_LARGE_INTESTINE","AZD5991","A-1331852",0.004568,0.001519,0.712217421142011
"82","LS513_LARGE_INTESTINE","AZD5991","A-1331852",0.0137,0.001519,0.526433699941153
"83","LS513_LARGE_INTESTINE","AZD5991","A-1331852",0.04111,0.001519,0.359648509540391
"84","LS513_LARGE_INTESTINE","AZD5991","A-1331852",0.1233,0.001519,0.13790306717888
"85","LS513_LARGE_INTESTINE","AZD5991","A-1331852",0.37,0.001519,0.0563130766608664
"86","LS513_LARGE_INTESTINE","AZD5991","A-1331852",0.004568,0.004556,0.457471030403367
"87","LS513_LARGE_INTESTINE","AZD5991","A-1331852",0.0137,0.004556,0.331019096930569
"88","LS513_LARGE_INTESTINE","AZD5991","A-1331852",0.04111,0.004556,0.17472092065777
"89","LS513_LARGE_INTESTINE","AZD5991","A-1331852",0.1233,0.004556,0.0495413411862372
"90","LS513_LARGE_INTESTINE","AZD5991","A-1331852",0.37,0.004556,0.0175822944002425
"91","LS513_LARGE_INTESTINE","AZD5991","A-1331852",0.004568,0.01367,0.323177038015317
"92","LS513_LARGE_INTESTINE","AZD5991","A-1331852",0.0137,0.01367,0.250996118425473
"93","LS513_LARGE_INTESTINE","AZD5991","A-1331852",0.04111,0.01367,0.103397738492316
"94","LS513_LARGE_INTESTINE","AZD5991","A-1331852",0.1233,0.01367,0.0304888957933416
"95","LS513_LARGE_INTESTINE","AZD5991","A-1331852",0.37,0.01367,0.0116551611572988
"96","LS513_LARGE_INTESTINE","AZD5991","A-1331852",0.004568,0.041,0.0448365896167856
"97","LS513_LARGE_INTESTINE","AZD5991","A-1331852",0.0137,0.041,0.0847901133523636
"98","LS513_LARGE_INTESTINE","AZD5991","A-1331852",0.04111,0.041,0.0179927497264471
"99","LS513_LARGE_INTESTINE","AZD5991","A-1331852",0.1233,0.041,0.00123547127025897
"100","LS513_LARGE_INTESTINE","AZD5991","A-1331852",0.37,0.041,0.000136688451917916
"101","253J_URINARY_TRACT","AZD5991","A-1331852",0.004568,0.000506,0.779885983183683
"102","253J_URINARY_TRACT","AZD5991","A-1331852",0.0137,0.000506,0.901830773879891
"103","253J_URINARY_TRACT","AZD5991","A-1331852",0.04111,0.000506,0.871746003329092
"104","253J_URINARY_TRACT","AZD5991","A-1331852",0.1233,0.000506,0.86076360873116
"105","253J_URINARY_TRACT","AZD5991","A-1331852",0.37,0.000506,0.814388288616106
"106","253J_URINARY_TRACT","AZD5991","A-1331852",0.004568,0.001519,0.810140188540858
"107","253J_URINARY_TRACT","AZD5991","A-1331852",0.0137,0.001519,0.919954625441707
"108","253J_URINARY_TRACT","AZD5991","A-1331852",0.04111,0.001519,0.886714417106807
"109","253J_URINARY_TRACT","AZD5991","A-1331852",0.1233,0.001519,0.773187960793733
"110","253J_URINARY_TRACT","AZD5991","A-1331852",0.37,0.001519,0.369556665470248
"111","253J_URINARY_TRACT","AZD5991","A-1331852",0.004568,0.004556,0.79783747049961
"112","253J_URINARY_TRACT","AZD5991","A-1331852",0.0137,0.004556,0.861903874024896
