"","ccle_name","XPR_GPX4","culture","pert1","pert2","dose1","dose2","anchor.fitted","library.fitted","combination.fitted","S"
"32","253J_URINARY_TRACT",-0.928585703654948,"PR500","ML210","ferrostatin-1",0.3704,10,1,0.747226394326422,0.870089201223688,-0.122862806897266
"33","253J_URINARY_TRACT",-0.928585703654948,"PR500","ML210","ferrostatin-1",1.111,10,1,0.640683254022804,0.849898520987872,-0.209215266965068
"34","253J_URINARY_TRACT",-0.928585703654948,"PR500","ML210","ferrostatin-1",10,10,1,0.39341807074075,0.801842555985146,-0.408424485244396
"35","253J_URINARY_TRACT",-0.928585703654948,"PR500","ML210","ferrostatin-1",3.333,10,1,0.518168241632617,0.82718911814538,-0.309020876512763
"36","HCC827_LUNG",-0.929298852302372,"PR500","ML210","ferrostatin-1",0.01372,10,0.92147496883745,0.976273251005877,0.910968551078966,0
"37","HCC827_LUNG",-0.929298852302372,"PR500","ML210","ferrostatin-1",0.04115,10,0.92147496883745,0.936128259241063,0.896237566617544,0
"38","HCC827_LUNG",-0.929298852302372,"PR500","ML210","ferrostatin-1",0.1235,10,0.92147496883745,0.839161518946397,0.879381315391367,-0.0402197964449703
"39","HCC827_LUNG",-0.929298852302372,"PR500","ML210","ferrostatin-1",0.3704,10,0.92147496883745,0.650164853292348,0.860226369136953,-0.210061515844606
"40","HCC827_LUNG",-0.929298852302372,"PR500","ML210","ferrostatin-1",1.111,10,0.92147496883745,0.398298618526507,0.838585978254013,-0.440287359727506
"41","HCC827_LUNG",-0.929298852302372,"PR500","ML210","ferrostatin-1",10,10,0.92147496883745,0.0774407890992495,0.787315588561922,-0.709874799462672
"42","HCC827_LUNG",-0.929298852302372,"PR500","ML210","ferrostatin-1",3.333,10,0.92147496883745,0.190764298314213,0.814314129978478,-0.623549831664264
"43","ONCODG1_OVARY",-0.992692025858952,"PR500","ML210","ferrostatin-1",0.01372,10,1,0.826525880729054,0.94062376966069,-0.114097888931636
"44","ONCODG1_OVARY",-0.992692025858952,"PR500","ML210","ferrostatin-1",0.04115,10,1,0.778088275830352,0.92481835854049,-0.146730082710137
"45","ONCODG1_OVARY",-0.992692025858952,"PR500","ML210","ferrostatin-1",0.1235,10,1,0.720659830689779,0.905216781499962,-0.184556950810183
"46","ONCODG1_OVARY",-0.992692025858952,"PR500","ML210","ferrostatin-1",0.3704,10,1,0.655002520906462,0.881177605799763,-0.226175084893301
"47","ONCODG1_OVARY",-0.992692025858952,"PR500","ML210","ferrostatin-1",1.111,10,1,0.58283976522224,0.852035501565478,-0.269195736343238
"48","ONCODG1_OVARY",-0.992692025858952,"PR500","ML210","ferrostatin-1",10,10,1,0.430697319504415,0.776364201936622,-0.345666882432208
"49","ONCODG1_OVARY",-0.992692025858952,"PR500","ML210","ferrostatin-1",3.333,10,1,0.506932448572917,0.817222359055903,-0.310289910482985
"50","NCIH1581_LUNG",-0.450788698769276,"PR500","ML210","ferrostatin-1",0.01372,10,0.64941529359434,0.676797013101895,0.892850387621969,-0.243435094027629
"51","NCIH1581_LUNG",-0.450788698769276,"PR500","ML210","ferrostatin-1",0.04115,10,0.64941529359434,0.736104991012256,0.86438910345862,-0.21497380986428
"52","NCIH1581_LUNG",-0.450788698769276,"PR500","ML210","ferrostatin-1",0.1235,10,0.64941529359434,0.787968150116992,0.829786595703624,-0.180371302109284
"53","NCIH1581_LUNG",-0.450788698769276,"PR500","ML210","ferrostatin-1",0.3704,10,0.64941529359434,0.831940765033802,0.788542542443917,-0.139127248849577
"54","NCIH1581_LUNG",-0.450788698769276,"PR500","ML210","ferrostatin-1",1.111,10,0.64941529359434,0.86832070959689,0.740426702649494,-0.0910114090551536
