"","ccle_name","GE_MGMT","culture","pert1","pert2","dose1","dose2","library.fitted","combination.fitted","S"
"35","SNU1196_BILIARY_TRACT",4.32696871158789,"PR500","temozolomide","O6-benzylguanine",33.33,5,0.997888116424068,0.802023388646683,0.150453094834118
"36","93T449_SOFT_TISSUE",0.807354922057604,"PR300","temozolomide","O6-benzylguanine",0.1372,5,0.709805404364818,0.907808913083256,0
"37","93T449_SOFT_TISSUE",0.807354922057604,"PR300","temozolomide","O6-benzylguanine",0.4115,5,0.72785526499465,0.888714232261939,0
"38","93T449_SOFT_TISSUE",0.807354922057604,"PR300","temozolomide","O6-benzylguanine",1.235,5,0.745195480676981,0.866233027436046,0
"39","93T449_SOFT_TISSUE",0.807354922057604,"PR300","temozolomide","O6-benzylguanine",100,5,0.806981805321424,0.736906524849628,0.0700752804717958
"40","93T449_SOFT_TISSUE",0.807354922057604,"PR300","temozolomide","O6-benzylguanine",11.11,5,0.777613183683123,0.80985305042628,0
"41","93T449_SOFT_TISSUE",0.807354922057604,"PR300","temozolomide","O6-benzylguanine",3.704,5,0.761782464162294,0.840045106422194,0
"42","93T449_SOFT_TISSUE",0.807354922057604,"PR300","temozolomide","O6-benzylguanine",33.33,5,0.7926805936848,0.775479264713473,0.0172013289713269
"43","TGBC18TKB_LARGE_INTESTINE",5.38059093426592,"PR300","temozolomide","O6-benzylguanine",0.1372,5,0.99978109383,0.831586525345036,0.0801944566020228
"44","TGBC18TKB_LARGE_INTESTINE",5.38059093426592,"PR300","temozolomide","O6-benzylguanine",0.4115,5,0.999246728017598,0.808527263215739,0.102445720737271
"45","TGBC18TKB_LARGE_INTESTINE",5.38059093426592,"PR300","temozolomide","O6-benzylguanine",1.235,5,0.997409430327101,0.783118416184546,0.125432050157801
"46","TGBC18TKB_LARGE_INTESTINE",5.38059093426592,"PR300","temozolomide","O6-benzylguanine",100,5,0.732493821983483,0.65882597351654,0.0108918325112255
"47","TGBC18TKB_LARGE_INTESTINE",5.38059093426592,"PR300","temozolomide","O6-benzylguanine",11.11,5,0.970130925941197,0.72532649187578,0.154613657241021
"48","TGBC18TKB_LARGE_INTESTINE",5.38059093426592,"PR300","temozolomide","O6-benzylguanine",3.704,5,0.991137251513047,0.755375755866668,0.145942458474412
"49","TGBC18TKB_LARGE_INTESTINE",5.38059093426592,"PR300","temozolomide","O6-benzylguanine",33.33,5,0.904133125536055,0.693080330316831,0.12614045556853
"50","ABC1_LUNG",4.19770815795585,"PR500","temozolomide","O6-benzylguanine",0.1372,5,0.916708323486855,0.93617575903943,0
"51","ABC1_LUNG",4.19770815795585,"PR500","temozolomide","O6-benzylguanine",0.4115,5,0.94879798461158,0.888593168252323,0.0602048163592567
"52","ABC1_LUNG",4.19770815795585,"PR500","temozolomide","O6-benzylguanine",1.235,5,0.968952599815625,0.81258150407607,0.156371095739555
"53","ABC1_LUNG",4.19770815795585,"PR500","temozolomide","O6-benzylguanine",100,5,0.996029563071961,0.274810726396523,0.721218836675438
"54","ABC1_LUNG",4.19770815795585,"PR500","temozolomide","O6-benzylguanine",11.11,5,0.988823143998676,0.561785982796492,0.427037161202184
"55","ABC1_LUNG",4.19770815795585,"PR500","temozolomide","O6-benzylguanine",3.704,5,0.981324013134943,0.702173160155722,0.279150852979221
"56","ABC1_LUNG",4.19770815795585,"PR500","temozolomide","O6-benzylguanine",33.33,5,0.99333211151332,0.410731907156642,0.582600204356679
