ccle_name,DepMap_ID,pert1,pert2,dose1,dose2,capped_library,capped_anchor,capped_combination,library,anchor,combination,S,LS,BLISS.NULL,HSA.NULL,XPR_GPX4,antagonism_count_across_doses
253JBV_URINARY_TRACT,ACH-000026,ML210,ferrostatin-1,0.01372,10,1,0.954513280607459,1,1.18365078466886,0.954513280607459,1.17781747070413,-0.0454867193925408,-0.06716282420081,0.954513280607459,0.954513280607459,NA,0
253JBV_URINARY_TRACT,ACH-000026,ML210,ferrostatin-1,0.04115,10,0.808682548764923,0.954513280607459,0.77736368216122,0.808682548764923,0.954513280607459,0.77736368216122,0,0,0.771898232591609,0.808682548764923,NA,0
253JBV_URINARY_TRACT,ACH-000026,ML210,ferrostatin-1,0.1235,10,0.600894829744652,0.954513280607459,0.83083524461276,0.600894829744652,0.954513280607459,0.83083524461276,-0.229940414868108,-0.467449909012419,0.573562095239628,0.600894829744652,NA,0
253JBV_URINARY_TRACT,ACH-000026,ML210,ferrostatin-1,0.3704,10,0.549006114285897,0.954513280607459,1,0.549006114285897,0.954513280607459,1.23572862498559,-0.450993885714103,-0.865105878260128,0.524033627220585,0.549006114285897,NA,0
253JBV_URINARY_TRACT,ACH-000026,ML210,ferrostatin-1,1.111,10,0.356440471403033,0.954513280607459,1,0.356440471403033,0.954513280607459,1.04682887107268,-0.643559528596967,-1.48826694046986,0.340227163700178,0.356440471403033,NA,0
253JBV_URINARY_TRACT,ACH-000026,ML210,ferrostatin-1,10,10,0.138724779600866,0.954513280607459,0.821286207629022,0.138724779600866,0.954513280607459,0.821286207629022,-0.682561428028155,-2.56565955929486,0.13241464447837,0.138724779600866,NA,0
253JBV_URINARY_TRACT,ACH-000026,ML210,ferrostatin-1,3.333,10,0.202150557099214,0.954513280607459,0.895308513808711,0.202150557099214,0.954513280607459,0.895308513808711,-0.693157956709496,-2.14695472596048,0.192955391433397,0.202150557099214,NA,0
253J_URINARY_TRACT,ACH-000011,ML210,ferrostatin-1,0.01372,10,0.925182219044418,0.815305741761958,0.734758999258098,0.925182219044418,0.815305741761958,0.734758999258098,0.0195473761048854,0.0378794955924949,0.754306375362983,0.815305741761958,-0.66297659345285,0
253J_URINARY_TRACT,ACH-000011,ML210,ferrostatin-1,0.04115,10,1,0.815305741761958,0.920677098621667,1.13155082279528,0.815305741761958,0.920677098621667,-0.105371356859709,-0.175354085478736,0.815305741761958,0.815305741761958,-0.66297659345285,0
253J_URINARY_TRACT,ACH-000011,ML210,ferrostatin-1,0.1235,10,1,0.815305741761958,1,1.12578239032717,0.815305741761958,1.07346822231934,-0.184694258238042,-0.294586919705506,0.815305741761958,0.815305741761958,-0.66297659345285,0
253J_URINARY_TRACT,ACH-000011,ML210,ferrostatin-1,0.3704,10,0.946229345593642,0.815305741761958,0.893481483458775,0.946229345593642,0.815305741761958,0.893481483458775,-0.0781757416968171,-0.132096655932692,0.771466218486156,0.815305741761958,-0.66297659345285,0
253J_URINARY_TRACT,ACH-000011,ML210,ferrostatin-1,1.111,10,0.558708478772547,0.815305741761958,1,0.558708478772547,0.815305741761958,1.0632957872278,-0.441291521227453,-0.839832380573066,0.455518230714346,0.558708478772547,-0.66297659345285,0
253J_URINARY_TRACT,ACH-000011,ML210,ferrostatin-1,10,10,0.104560295605784,0.815305741761958,1,0.104560295605784,0.815305741761958,1.21989044200348,-0.895439704394216,-3.25759296994594,0.0852486093677229,0.104560295605784,-0.66297659345285,0
253J_URINARY_TRACT,ACH-000011,ML210,ferrostatin-1,3.333,10,0.0999088472832859,0.815305741761958,0.986063599345471,0.0999088472832859,0.815305741761958,0.986063599345471,-0.886154752062185,-3.30299635630674,0.0814562568428815,0.0999088472832859,-0.66297659345285,0
